url,name,category,what_you_learn,skills,language,instructors,content
https://www.coursera.org/learn/3d-gastrointestinal-anatomy-physiology-interactive-course,Digestive Dynamics: Understanding the GI System,Health,"Learners will explore the functions of key digestive organs and their role in metabolism
Learners will explore the functions of key digestive organs and their role in metabolism
Learners will understand how the body absorbs nutrients and eliminates waste
Learners will understand how the body absorbs nutrients and eliminates waste
Learners will apply digestive system knowledge to case studies, such as GERD and IBS
Learners will apply digestive system knowledge to case studies, such as GERD and IBS","Physiology, Clinical Practices, Molecular, Cellular, and Microbiology, Anatomy, Biology, Pathology, Diagnostic Tests, Medical Terminology, Microbiology, Nutrition and Diet",English,"['~167016541', '~166856472', '~166856442', '~166856230']","This course examines how the digestive system processes food, absorbs nutrients, and eliminates waste.Learners will explore the roles of the stomach, intestines, liver, pancreas, and gallbladder, along with common digestive disorders such as GERD and IBS. 

Ideal for students in healthcare, nutrition and those curious in the topic of gastrointestinal physiology this course uses engaging 3D animations, case studies, and clinical applications to connect theoretical concepts to real-world digestive health."
https://www.coursera.org/learn/3d-lighting-101-with-nomad-sculpt,3D Lighting 101 with Nomad Sculpt,Arts And Humanities,,"Computer Graphics, 3D Assets, Color Theory, Image Quality, 3D Modeling, Computer Graphic Techniques, Visualization (Computer Graphics)",English,['~186501695'],"Welcome to 3D Lighting 101 with Dave Reed, where you’ll learn how to master lighting techniques that bring your 3D models and sculpts to life. Whether you use Nomad Sculpt or any other 3D software, the fundamentals of how light interacts with surfaces remain the same—and that’s what this course focuses on. Lighting can make or break the impact of your artwork, so Dave shares his passion and expertise to help you craft dynamic, realistic lighting setups that showcase your creations in the best possible way.This course is perfect for 3D artists, sculptors, and digital creators who want to deepen their understanding of lighting effects such as roughness, metalness, glow, and color dynamics. By the end of this course, you will be able to confidently apply different lighting techniques to enhance textures, materials, and moods within your scenes. You’ll also get hands-on experience with customizable 3D character and shape files, plus sample environments and background images to practice your skills.

To succeed in this course, you should have basic familiarity with 3D sculpting or modeling and a general understanding of your preferred 3D software interface. 

Join Dave to illuminate your work and take your 3D art to the next level!

Instructor hio:
Dave Reed is a 2D and 3D illustrator and digital creator based in Brooklyn, New York. He holds a BFA in Illustration from the School of Visual Arts in NYC, where he developed his craft in both traditional and digital mediums. With a passion for visual storytelling and design, Dave brings a creative and practical approach to his teaching, helping learners build the skills and confidence to create their own illustrations and digital art."
https://www.coursera.org/learn/3d-musculoskeletal-anatomy-physiology-interactive-course,The Framework of Movement: Understanding Bones and Muscles,Health,"Learners will understand the structure and function of bones, joints, and muscles
Learners will understand the structure and function of bones, joints, and muscles
Learners will explore the processes of bone growth, remodeling, and muscle contraction
Learners will explore the processes of bone growth, remodeling, and muscle contraction
Learners will apply musculoskeletal knowledge to case studies, such as fractures and arthritis
Learners will apply musculoskeletal knowledge to case studies, such as fractures and arthritis","Chronic Diseases, Orthopedics, Medical Terminology, Exercise Science, Physical Therapy, Anatomy, Physiology, Diagnostic Tests, Kinesiology, Human Musculoskeletal System, Sports Medicine, Medical Imaging",English,"['~166856442', '~167016541', '~166856472', '~166856230']","This course provides a comprehensive understanding of the skeletal and muscular systems, exploring how bones, joints, and muscles support movement and stability.Learners will study bone growth, remodeling, and muscle contraction while also examining common musculoskeletal conditions such as osteoporosis and arthritis. 

Perfect for aspiring healthcare professionals, physiotherapy students, sports scientists, this course uses detailed 3D visuals, real-world case studies, and interactive exercises to deepen knowledge and apply it to healthcare and rehabilitation settings."
https://www.coursera.org/learn/3d-printing-technology-deep-dive-and-use-cases,3D Printing Technology Deep Dive and Use Cases,Physical Science And Engineering,"Students will investigate the working principles, applications, and limitations of various 3D printing technologies.
Students will investigate the working principles, applications, and limitations of various 3D printing technologies.","Mechanical Engineering, 3D Modeling, Prototyping, Cost Estimation, Electronics, Research and Design, Computer-Aided Design, Industrial Design, Materials science, Manufacturing Processes",English,['~124197120'],"Welcome to “Introduction to 3D Printing Technology Deep Dive!” In this short course, you will learn about the working principles, applications, and limitations of various 3D printing technologies. After the course, you will be familiar with how to choose the right 3D printing technology to create proper prototypes."
https://www.coursera.org/learn/3d-respiratory-anatomy-physiology-interactive-course,Breath of Life: Exploring the Respiratory System,Health,"Learners will examine the key structures of the respiratory system and their functions
Learners will examine the key structures of the respiratory system and their functions
Learners will understand how oxygen and carbon dioxide are exchanged in the lungs
Learners will understand how oxygen and carbon dioxide are exchanged in the lungs
Learners will apply respiratory knowledge to case studies, such as asthma and COPD
Learners will apply respiratory knowledge to case studies, such as asthma and COPD","Patient Treatment, Pulmonary Function Testing, Pharmacotherapy, Physiology, Airway Management, Patient Evaluation, Capillary, Anatomy, Infectious Diseases, Oxygen Therapy, Diagnostic Tests, Medical Terminology, Immunology, Respiratory Care, Respiration, Pulmonology",English,"['~167016541', '~166856472', '~166856442', '~166856230']","This course explores how the respiratory system facilitates breathing and gas exchange, ensuring oxygen delivery and carbon dioxide removal.Learners will gain insight into how lung function supports overall health and will study conditions such as asthma, COPD, and pneumonia. 

Designed for medical, nursing, allied health professionals and those curious to learn more, this course provides interactive 3D models, patient scenarios, and clinical insights to help learners apply theoretical knowledge to real-world healthcare situations."
https://www.coursera.org/learn/3d-specialized-anatomy-physiology-systems-interactive-course,Integrating Specialized Body Functions,Health,"Learners will explore the structure and functions of the urinary, nervous, endocrine, reproductive, and integumentary systems.
Learners will explore the structure and functions of the urinary, nervous, endocrine, reproductive, and integumentary systems.
Learners will understand how these systems regulate essential physiological processes and maintain homeostasis.
Learners will understand how these systems regulate essential physiological processes and maintain homeostasis.","Immunology, Pathology, Physiology, Neurology, Endocrinology, Health Assessment, Nephrology, Obstetrics And Gynecology, Gynecology, Anatomy, Urology",English,"['~166856442', '~167016541', '~166856472', '~166856230']","This course explores the urinary, nervous, endocrine, reproductive, and integumentary systems, focusing on how they integrate within the body and regulate homeostasis.Learners will understand how these systems function independently and collaboratively, while also studying common conditions such as hormonal imbalances and neurological disorders. 

Designed for those curious to learn about systems of the human body, including medical, nursing, and allied health students, this course includes clear explanations, immersive 3D visuals, and practical case studies to provide a deeper understanding of the body's specialized processes."
https://www.coursera.org/learn/4g-network-fundamentals,4G Network Fundamentals,Information Technology,"Describe 4G networks’ functioning and architecture.
Describe 4G networks’ functioning and architecture.
Explain how telecommunications operators provide mobile users with a permanent IP address in a secure manner.
Explain how telecommunications operators provide mobile users with a permanent IP address in a secure manner.
Analyze the internal exchanges and protocols used in a 4G network: attachment, location updating, handover.
Analyze the internal exchanges and protocols used in a 4G network: attachment, location updating, handover.
Identify the transport and control functions in a 4G network.
Identify the transport and control functions in a 4G network.","Network Protocols, Digital Communications, Telecommunications, Network Architecture, Network Security, Wireless Networks, Mobile Security, Dataflow, Computer Networking, Capacity Management, Network Infrastructure",English,['~89189666'],"4G is the cutting-edge network technology that links millions of smartphones to the internet. But how does it actually work?Ideal for network engineers, sales engineers, application developers, and many other telecoms pros, this course will help you to understand the technology behind the apps and devices we use every day.

You’ll get a solid overview of LTE/EPC (Long Term Evolution / Evolved Packet Core) 4G networks, how they work, how the network architecture is designed, and which protocols are used.

First, you’ll gain exposure to the global architecture of the network, how the radio interface works, and how security is guaranteed. Then you’ll dive into the operational side. What is a bearer? How is it quickly configured and released? How does 4G handle millions of terminals that are on the move all the time?

A certificate of completion is awarded by Coursera to learners who achieve a grade above 50%.

This course has received financial support from the Patrick & Lina Drahi Foundation."
https://www.coursera.org/learn/5g-network-fundamentals,5G Network Fundamentals,Information Technology,"Characterize 5G modes (eMBB, uRLLC, mMTC) and list the main functional entities and their role (gNB, AMF, SMF, UPF, UDM, AUSF)
Characterize 5G modes (eMBB, uRLLC, mMTC) and list the main functional entities and their role (gNB, AMF, SMF, UPF, UDM, AUSF)
Justify how MIMO and massive MIMO are a technological breakthrough of mobile networks
Justify how MIMO and massive MIMO are a technological breakthrough of mobile networks
Explain the security weaknesses of 4G and justify how 5G enhances security
Explain the security weaknesses of 4G and justify how 5G enhances security
Describe the interactions between network functions (NF) from the specification of a simple service in a service-based architecture (SBA).
Describe the interactions between network functions (NF) from the specification of a simple service in a service-based architecture (SBA).","Network Planning And Design, Mobile Security, Software-Defined Networking, Infrastructure Security, Cloud Computing Architecture, Wireless Networks, Virtual Private Networks (VPN), Network Performance Management, Emerging Technologies, Network Security, Telecommunications, Service Oriented Architecture, Computer Networking, Network Protocols, Network Architecture, Encryption, Communication Systems",English,['~89189666'],"This MOOC presents the services and the architecture of 5G networks, the main principles of the new radio interface (NR), data flow management, security and the new Service-Based Architecture (SBA).In recent years, operators have been deploying 5G technology on commercial mobile networks. The latter is announced as a major technological breakthrough with speeds beyond Gbit/s, very low latencies and above all a distribution in many sectors of activity (industry, transport, medicine, etc.).

Beyond the announcement effects, this technology relies heavily on 4G. The waveform for radio transmission is identical, the management of data flows is similar. However, 5G significantly extends the possible options both in the choice of architectures and in the radio interface configurations as well as in the security mechanisms. All this is explained in the mooc.

A certificate of successful completion is awarded by Coursera to learners who succeed in obtaining a mark greater than 50%.

This MOOC has received financial support from the Patrick & Lina Drahi Foundation."
https://www.coursera.org/learn/5g-training-qualcomm,5G for Everyone,Physical Science And Engineering,"Gain an in-depth understanding of how 5G is revolutionizing the way we do business in the 2020s.
Gain an in-depth understanding of how 5G is revolutionizing the way we do business in the 2020s.
Learn about the technologies that make 5G possible, including mmWave, Massive MIMO, RAN, and more.
Learn about the technologies that make 5G possible, including mmWave, Massive MIMO, RAN, and more.
Learn how companies can take advantage of 5G Private Networks and Industrial IoT to transform the way they operate on a daily basis.
Learn how companies can take advantage of 5G Private Networks and Industrial IoT to transform the way they operate on a daily basis.
Gain the base-level knowledge of 5G you need to continue your wireless education and advance in the rapidly-growing field of wireless technology.
Gain the base-level knowledge of 5G you need to continue your wireless education and advance in the rapidly-growing field of wireless technology.","Wireless Networks, Internet Of Things, Virtualization, Emerging Technologies, Business Transformation, Telecommunications, General Networking, Network Infrastructure",English,['~100182396'],"Take the next step in your career by gaining a greater understanding of 5G technology and how it is changing the way we operate both personally and professionally. Learn how 5G is revolutionizing the business world and begin to understand how 5G can benefit your business by helping you meet your ever-evolving needs. You do not need any prior knowledge of 5G or other wireless technology to take this course.WHY TAKE THIS COURSE?
- Understand what 5G technology is, the endless possibilities it offers, and how you can leverage it to enhance business strategy.
- Receive 5G training from engineers at Qualcomm Technologies – a world leader in 5G tech and wireless communication.
- Receive a Qualcomm-branded certificate of completion that may help you get that next job or promotion.

COURSE OUTLINE:
- Overview of wireless and cellular communications.
- Overview of the 5G NR vision.
- Introduction to 5G networks and features.
- Discuss 5G spectrum and mmWave.
- Learn about Massive MIMO and its impact on wireless technology.
- Discuss the evolution of the 5G radio access network (RAN).
- Dive into 5G private networks and industrial IoT.
- Overview of 5G security."
https://www.coursera.org/learn/6g-deployment-testbeds-antenna-systems-and-digital-twins,"6G Deployment: Testbeds, Antenna Systems & Digital Twins",Physical Science And Engineering,"Master foundational 6G concepts, AI-driven networks, RIS technology, and optical wireless communications including LiFi systems.
Master foundational 6G concepts, AI-driven networks, RIS technology, and optical wireless communications including LiFi systems.","Distributed Computing, Information Technology, Development Testing, Interoperability, Network Architecture, Trustworthiness, Artificial Intelligence and Machine Learning (AI/ML), Machine Learning, Emerging Technologies, Software-Defined Networking, Network Planning And Design, Electrical Engineering, Internet Of Things, Communication Systems, Augmented and Virtual Reality (AR/VR), Electronics Engineering, Wireless Networks, Telecommunications, Digital Communications, Zero Trust Network Access",English,"['~176370912', '~152736905']","The final part of this specialization in 6G wireless technologies will enable learners to understand digital twins-enabled wireless communications, master antenna design principles for 6G applications, explore comprehensive testbed implementations and industry use cases, and analyze 6G's ubiquitous connectivity vision. Learners will gain expert insights into how these implementation-focused technologies will enable practical deployment of next-generation wireless systems.Part 3 focuses on real-world implementation and deployment aspects, examining digital twin fundamentals in telecommunications, antenna array design principles, testbed experimentation platforms, and industry applications. The integrated approach covers theoretical antenna physics, practical testbed configurations, and futuristic outlook discussions from industry leaders. Expert perspectives provide insights into building the road to 6G through trials, standardization, and ecosystem collaboration.
By completing Part 3, learners will be equipped with specialized knowledge in 6G implementation, testing, and deployment strategies, positioning them to lead practical 6G development initiatives. This final part of the specialization builds upon the foundational concepts from Parts 1 and 2, creating a complete pathway to 6G expertise that encompasses everything from theoretical principles to real-world deployment."
https://www.coursera.org/learn/6g-evolution-blockchain-semantic-communications-and-radar,"6G Evolution: Blockchain, Semantic Communications & Radar",Physical Science And Engineering,"Understand blockchain wireless systems, semantic communications, multimodal networks, and radar-enabled monitoring applications.
Understand blockchain wireless systems, semantic communications, multimodal networks, and radar-enabled monitoring applications.","Machine Learning, Trustworthiness, Electronics Engineering, Information Technology, Artificial Intelligence and Machine Learning (AI/ML), Internet Of Things, Artificial Intelligence, Electrical Engineering, Distributed Computing, Communication Systems, Emerging Technologies, Generative AI, Zero Trust Network Access, Health Technology, Network Architecture, Digital Communications, Software-Defined Networking, Deep Learning",English,"['~176370912', '~152736905']","The second part of this specialization in 6G wireless technologies will allow learners to understand blockchain-empowered wireless systems, analyze multimodal smart networks with vision-aided capabilities, master semantic communication principles and mathematical frameworks, and explore radar-enabled monitoring for 6G applications. Learners will gain expert insights into how these advanced technologies will enable intelligent, secure, and efficient wireless networks.Part 2 advances beyond foundational concepts to examine cutting-edge innovations that will transform network intelligence and functionality. The integrated approach covers blockchain resource management, semantic communication transceiver design, radar principles for assisted living, and multimodal network architectures. Expert discussions from telecom visionaries provide real-world perspectives on wireless network evolution and deployment strategies.
By completing Part 2, learners will be equipped with specialized knowledge in next-generation network intelligence and security mechanisms, positioning them to contribute to 6G's most innovative applications. This intermediate foundation gives learners a fundamental understanding how 6G will revolutionize connectivity through intelligent, semantic-aware, and blockchain-secured communications."
https://www.coursera.org/learn/6g-vision-ml-intelligent-surfaces-and-optical-networks,"6G Vision: ML, Intelligent Surfaces & Optical Networks",Physical Science And Engineering,"Learn digital twin communications, antenna array design principles, 6G testbed concepts, and real-world deployment strategies.
Learn digital twin communications, antenna array design principles, 6G testbed concepts, and real-world deployment strategies.","Electrical Engineering, Machine Learning, Artificial Intelligence and Machine Learning (AI/ML), Zero Trust Network Access, Distributed Computing, Software-Defined Networking, Information Technology, Wireless Networks, Electronics Engineering, Network Planning And Design, Internet Of Things, Digital Communications, Trustworthiness, Emerging Technologies",English,"['~176370912', '~152736905']","The first part of this specialization in 6G wireless technologies will equip learners to master foundational 6G concepts and vision, analyze AI-driven network operations, understand Reconfigurable Intelligent Surfaces (RIS) technology, and explore optical wireless communications including LiFi. Learners will gain critical insights from leading experts on how smart radio and optical systems will reshape wireless connectivity.Part 1 combines theoretical foundations with practical insights from industry pioneers, focusing on AI-native networks and intelligent surfaces that will define next-generation connectivity. The integrated approach linking RIS technology with machine learning and optical wireless systems provides a strong understanding of 6G's enablers and related technologies.
By completing Part 1, learners will be equipped with specialized knowledge in the fast-evolving areas of 6G development, positioning them at the forefront of wireless innovation. This foundation prepares learners for advanced topics in Parts 2 and 3, creating a pathway to 6G expertise that bridges academic research with real-world applications."
https://www.coursera.org/learn/8-most-controversial-terms-in-ai-explained,"8 Most Controversial Terms in AI, Explained",Personal Development,,"Open Source Technology, Artificial Intelligence, Large Language Modeling, Machine Learning, Responsible AI, Generative AI",English,['~145762509'],"This is aimed at absolutely anyone interested in AI, from c-suite and software engineers to curious parents and engaged amateurs. No technical background is necessary, as no matter your background you will leave much better informed about key (and controversial) terms in AI.You will learn about 8 of the key terms used in AI - which are bandied around as if everyone should know them. Each term comes with complex and storied histories and implications, relevant to both practitioners and interested onlookers. 

What does 'stochastic parrot' actually mean, and are LLMs merely parrots? Do language models actually 'reason' and has the idea of 'emergent behaviors' been debunked already? Why is the term 'open source' being replaced with 'open weights' and what on earth is meant by 'artificial general intelligence'? I challenge anyone to leave this short 3-5 hour course without a much more nuanced understanding of the key debates in AI."
https://www.coursera.org/learn/911-attack,Understanding 9/11: Why 9/11 Happened & How Terrorism Affects Our World Today,Social Sciences,,"Security Strategy, Social Studies, World History, Political Sciences, Cultural Diversity, Intelligence Collection and Analysis, Policy Analysis, Public Safety and National Security, Policy Development, International Relations",English,['davidschanzer'],"This course will explore the forces that led to the 9/11 attacks and the policies the United States adopted in response. We will examine the phenomenon of modern terrorism, the development of the al Qai'da ideology, and the process by which individuals radicalize towards violence."
